2023-10-15 08:59:02,972 Model 1, rep:0, n:100, nind:0, iters:0
2023-10-15 08:59:03,123 Model 1, rep:1, n:100, nind:0, iters:0
2023-10-15 08:59:03,335 Model 1, rep:2, n:100, nind:0, iters:0
2023-10-15 08:59:03,598 Model 1, rep:3, n:100, nind:0, iters:0
2023-10-15 08:59:03,805 Model 1, rep:4, n:100, nind:0, iters:0
2023-10-15 08:59:04,003 Model 1, rep:5, n:100, nind:0, iters:0
2023-10-15 08:59:04,161 Model 1, rep:6, n:100, nind:0, iters:0
2023-10-15 08:59:04,349 Model 1, rep:7, n:100, nind:0, iters:0
2023-10-15 08:59:04,544 Model 1, rep:8, n:100, nind:0, iters:0
2023-10-15 08:59:04,745 Model 1, rep:9, n:100, nind:0, iters:0
2023-10-15 08:59:04,906 Model 1, rep:10, n:100, nind:0, iters:0
2023-10-15 08:59:05,059 Model 1, rep:11, n:100, nind:0, iters:0
2023-10-15 08:59:05,200 Model 1, rep:12, n:100, nind:0, iters:0
2023-10-15 08:59:05,394 Model 1, rep:13, n:100, nind:0, iters:0
2023-10-15 08:59:05,632 Model 1, rep:14, n:100, nind:0, iters:0
2023-10-15 08:59:05,755 Model 1, rep:15, n:100, nind:0, iters:0
2023-10-15 08:59:05,928 Model 1, rep:16, n:100, nind:0, iters:0
2023-10-15 08:59:06,140 Model 1, rep:17, n:100, nind:0, iters:0
2023-10-15 08:59:06,334 Model 1, rep:18, n:100, nind:0, iters:0
2023-10-15 08:59:06,458 Model 1, rep:19, n:100, nind:0, iters:0
2023-10-15 08:59:06,703 Model 1, rep:0, n:200, nind:1, iters:0
2023-10-15 08:59:06,944 Model 1, rep:1, n:200, nind:1, iters:0
2023-10-15 08:59:07,236 Model 1, rep:2, n:200, nind:1, iters:0
2023-10-15 08:59:07,494 Model 1, rep:3, n:200, nind:1, iters:0
2023-10-15 08:59:07,799 Model 1, rep:4, n:200, nind:1, iters:0
2023-10-15 08:59:08,060 Model 1, rep:5, n:200, nind:1, iters:0
2023-10-15 08:59:08,376 Model 1, rep:6, n:200, nind:1, iters:0
2023-10-15 08:59:08,696 Model 1, rep:7, n:200, nind:1, iters:0
2023-10-15 08:59:08,978 Model 1, rep:8, n:200, nind:1, iters:0
2023-10-15 08:59:09,212 Model 1, rep:9, n:200, nind:1, iters:0
2023-10-15 08:59:09,481 Model 1, rep:10, n:200, nind:1, iters:0
2023-10-15 08:59:09,762 Model 1, rep:11, n:200, nind:1, iters:0
2023-10-15 08:59:10,055 Model 1, rep:12, n:200, nind:1, iters:0
2023-10-15 08:59:10,332 Model 1, rep:13, n:200, nind:1, iters:0
2023-10-15 08:59:10,595 Model 1, rep:14, n:200, nind:1, iters:0
2023-10-15 08:59:10,836 Model 1, rep:15, n:200, nind:1, iters:0
2023-10-15 08:59:11,100 Model 1, rep:16, n:200, nind:1, iters:0
2023-10-15 08:59:11,355 Model 1, rep:17, n:200, nind:1, iters:0
2023-10-15 08:59:11,614 Model 1, rep:18, n:200, nind:1, iters:0
2023-10-15 08:59:11,830 Model 1, rep:19, n:200, nind:1, iters:0
2023-10-15 08:59:12,171 Model 1, rep:0, n:300, nind:2, iters:0
2023-10-15 08:59:12,528 Model 1, rep:1, n:300, nind:2, iters:0
2023-10-15 08:59:12,855 Model 1, rep:2, n:300, nind:2, iters:0
2023-10-15 08:59:13,237 Model 1, rep:3, n:300, nind:2, iters:0
2023-10-15 08:59:13,614 Model 1, rep:4, n:300, nind:2, iters:0
